examinee_count,config_id,method,common_items,table,file_path,total_items,sigma2,seed,total_examinees,multi_pop,creation_date,mu_list,num_tests,item_count
1000,sys_i30_c5_e1000_s42,systematic,5,table2,simulation_data\table2_combined.pkl,255,,42,10000,False,2025-06-06 13:09:21,,10,30
50,sys_i50_c0_e50_s42,systematic,0,table2,simulation_data\table2_combined.pkl,500,,42,500,False,2025-06-06 13:09:21,,10,50
100,sys_i50_c0_e100_s42,systematic,0,table2,simulation_data\table2_combined.pkl,500,,42,1000,False,2025-06-06 13:09:21,,10,50
500,sys_i50_c0_e500_s42,systematic,0,table2,simulation_data\table2_combined.pkl,500,,42,5000,False,2025-06-06 13:09:21,,10,50
1000,sys_i50_c0_e1000_s42,systematic,0,table2,simulation_data\table2_combined.pkl,500,,42,10000,False,2025-06-06 13:09:21,,10,50
50,sys_i50_c5_e50_s42,systematic,5,table2,simulation_data\table2_combined.pkl,455,,42,500,False,2025-06-06 13:09:21,,10,50
100,sys_i50_c5_e100_s42,systematic,5,table2,simulation_data\table2_combined.pkl,455,,42,1000,False,2025-06-06 13:09:21,,10,50
500,sys_i50_c5_e500_s42,systematic,5,table2,simulation_data\table2_combined.pkl,455,,42,5000,False,2025-06-06 13:09:21,,10,50
1000,sys_i50_c5_e1000_s42,systematic,5,table2,simulation_data\table2_combined.pkl,455,,42,10000,False,2025-06-06 13:09:21,,10,50
500,rnd_i50_c0_e500_s42_mp_mu-0.3_0.3_sig0.7,random,0,table3,simulation_data\table3_combined.pkl,100,0.7,42,1000,True,2025-06-06 13:09:21,"[-0.3, 0.3]",2,50
500,rnd_i50_c5_e500_s42_mp_mu-0.3_0.3_sig0.7,random,5,table3,simulation_data\table3_combined.pkl,95,0.7,42,1000,True,2025-06-06 13:09:21,"[-0.3, 0.3]",2,50
500,rnd_i50_c0_e500_s42_mp_mu-0.5_0.5_sig0.5,random,0,table3,simulation_data\table3_combined.pkl,100,0.5,42,1000,True,2025-06-06 13:09:21,"[-0.5, 0.5]",2,50
500,rnd_i50_c5_e500_s42_mp_mu-0.5_0.5_sig0.5,random,5,table3,simulation_data\table3_combined.pkl,95,0.5,42,1000,True,2025-06-06 13:09:21,"[-0.5, 0.5]",2,50
500,rnd_i50_c0_e500_s42_mp_mu-0.7_0.7_sig0.3,random,0,table3,simulation_data\table3_combined.pkl,100,0.3,42,1000,True,2025-06-06 13:09:21,"[-0.7, 0.7]",2,50
500,rnd_i50_c5_e500_s42_mp_mu-0.7_0.7_sig0.3,random,5,table3,simulation_data\table3_combined.pkl,95,0.3,42,1000,True,2025-06-06 13:09:21,"[-0.7, 0.7]",2,50
500,rnd_i50_c0_e500_s42_mp_mu-0.9_0.9_sig0.1,random,0,table3,simulation_data\table3_combined.pkl,100,0.1,42,1000,True,2025-06-06 13:09:21,"[-0.9, 0.9]",2,50
500,rnd_i50_c5_e500_s42_mp_mu-0.9_0.9_sig0.1,random,5,table3,simulation_data\table3_combined.pkl,95,0.1,42,1000,True,2025-06-06 13:09:21,"[-0.9, 0.9]",2,50
